word,valence,arousal,dominance,aoa,category
breed,4.05,3.55,4.72,5.87,A
breekbaar,2.89,3.31,2.50,6.94,A
breien,4.16,3.30,3.20,6.06,V
brein,4.91,5.19,5.23,8.26,N
breken,2.84,5.05,4.05,5.00,V
brengen,4.33,4.61,3.67,5.29,V
bres,3.96,4.09,3.98,9.92,N
breuk,2.72,4.41,4.17,7.32,N
brief,4.52,3.22,3.77,4.84,N
bries,4.47,3.97,3.66,7.87,N
brij,3.23,3.31,3.44,7.83,N
bril,3.95,3.02,3.61,4.87,N
briljant,6.25,4.89,5.31,8.26,A
brits,4.39,3.40,3.76,9.15,N
broche,4.40,2.95,3.64,8.55,N
broeden,4.61,3.88,3.81,6.39,V
broeder,5.02,3.61,4.66,6.74,N
broederschap,5.58,4.14,5.22,9.45,N
broek,4.36,3.17,3.94,3.77,N
broer,5.31,4.02,4.39,3.55,N
brok,3.34,3.42,4.08,6.39,N
bron,4.70,3.66,4.19,7.06,N
brons,4.44,3.33,4.19,7.23,N
brood,4.75,3.41,3.86,3.94,N
broos,3.09,2.84,2.33,10.10,A
brug,4.39,3.34,4.55,5.19,N
bruid,5.72,4.84,4.23,6.55,N
bruidegom,5.63,4.70,4.34,7.35,N
bruidspaar,5.88,4.68,4.53,7.52,N
bruidsschat,4.63,3.95,4.30,9.90,N
bruiloft,5.94,5.44,4.48,6.52,N
bruin,4.27,3.28,3.88,4.29,A
bruinen,5.09,3.28,3.98,7.71,V
brullen,2.77,5.89,5.27,6.48,V
brutaal,2.52,5.44,5.22,6.35,A
bruto,4.08,3.51,4.24,10.42,N
bruusk,2.89,5.27,5.02,10.14,A
bruut,2.33,5.34,5.19,8.03,A
budget,4.23,3.73,4.11,9.03,N
buffel,4.05,4.44,5.05,7.32,N
buffer,4.48,3.44,4.23,10.26,N
bui,3.20,4.61,4.19,6.10,N
buidel,4.38,3.25,3.83,8.13,N
buigen,3.56,4.22,2.81,5.97,V
buigzaam,4.41,3.56,3.25,8.26,A
buik,4.05,3.67,3.75,3.48,N
buikgriep,1.94,4.09,3.78,7.61,N
buikpijn,2.22,4.48,3.73,5.00,N
buis,3.58,3.41,3.89,6.16,N
buit,4.52,4.06,4.86,7.48,N
buiten,4.83,4.22,4.25,4.68,A
buizen,3.20,3.50,3.69,7.00,V
bukken,3.80,4.45,3.08,5.87,V
buldozer,3.28,5.42,5.69,6.94,N
bult,3.09,3.41,3.84,5.19,N
bunker,3.02,3.55,5.25,7.84,N
burcht,4.33,3.59,5.14,7.73,N
burger,4.55,3.83,3.98,7.10,N
burgerlijk,3.63,3.38,3.56,10.35,A
bus,4.03,4.02,4.22,4.58,N
buskruit,2.91,5.38,5.48,8.87,N
buste,4.56,3.72,4.17,10.14,N
butler,4.27,4.23,2.83,8.19,N
buur,4.60,3.70,4.00,5.42,N
buurt,4.33,3.80,4.08,5.71,N
cacao,5.08,3.33,4.09,8.03,N
cadeau,5.84,4.50,4.39,4.68,N
café,5.10,5.06,3.92,6.94,N
cake,5.31,3.25,3.58,5.13,N
canon,4.26,4.55,4.71,8.50,N
capaciteit,4.91,4.36,4.69,10.26,N
cape,4.19,3.72,3.83,7.77,N
carnaval,4.94,5.83,4.19,5.39,N
cartoon,5.19,4.27,3.88,7.61,N
cash,4.80,4.17,4.73,9.48,N
cel,2.33,3.33,4.13,7.23,N
cello,4.67,3.56,3.90,8.79,N
cement,3.86,2.97,5.03,7.32,N
cent,4.27,3.38,3.06,5.58,N
chagrijnig,2.33,4.20,4.08,8.74,A
chaos,2.63,5.98,4.83,8.45,N
charmant,6.02,4.33,4.77,8.90,A
charme,5.64,4.44,4.95,9.26,N
chef,4.31,4.72,5.13,7.68,N
cheque,4.94,3.91,4.52,8.81,N
chic,5.30,3.69,4.71,8.03,A
chili,4.50,4.40,4.89,9.55,N
chip,4.23,3.55,4.20,9.48,N
chloor,3.45,3.73,4.52,8.58,N
chocolade,5.56,3.75,4.19,4.32,N
chroom,4.05,3.11,4.56,10.97,N
cider,4.43,3.86,3.95,10.83,N
cijfer,4.33,3.53,4.20,5.48,N
circus,4.69,5.53,3.88,5.65,N
cirkel,4.27,3.45,4.03,5.19,N
citroen,4.30,3.41,4.19,5.26,N
claim,3.25,4.41,4.77,11.03,N
clan,3.45,4.28,5.05,11.24,N
clean,5.14,3.61,4.64,10.84,A
clown,4.63,5.16,3.38,4.58,N
club,4.84,4.95,4.52,7.39,N
cluster,4.22,3.59,4.55,11.52,N
coach,4.80,5.05,5.16,8.00,N
cobra,3.39,4.91,5.24,7.52,N
cocktail,5.48,3.91,4.50,9.39,N
cocon,4.25,2.58,3.52,9.07,N
code,4.17,3.64,4.48,8.26,N
coke,2.48,5.11,4.58,11.55,N
cola,4.80,3.97,4.19,4.90,N
colbert,4.19,3.17,3.81,10.88,N
coma,1.75,2.08,4.03,9.06,N
comfort,5.64,2.69,4.63,8.94,N
compenseren,4.48,4.30,4.00,10.06,V
competent,5.70,4.54,5.34,11.26,A
competitief,4.45,5.75,5.67,10.03,A
condoom,4.39,4.69,4.52,10.68,N
confetti,5.22,4.84,3.72,6.10,N
conflict,2.35,5.72,5.05,8.94,N
conformistisch,3.40,3.15,3.31,13.27,A
conservatief,2.92,2.98,4.00,10.97,A
consistent,5.23,3.69,5.28,11.77,A
constructief,5.34,4.38,5.17,11.68,A
consul,4.12,4.02,4.56,12.54,N
contact,4.95,4.27,4.48,7.68,N
controle,4.27,4.36,5.05,7.42,N
controleerbaar,4.84,3.84,4.41,8.90,A
controlerend,3.39,4.98,5.09,8.65,A
conventioneel,4.13,3.52,4.02,12.23,A
corrigeren,4.19,4.88,4.58,9.13,V
corrupt,1.89,4.88,4.84,10.35,A
creatief,5.80,4.92,4.84,8.32,A
crimineel,1.95,5.36,5.11,8.42,N
crisis,2.20,5.31,4.72,9.61,N
cru,2.68,4.55,4.66,11.00,A
cruise,5.36,3.36,4.30,9.29,N
cycloon,2.54,5.92,5.89,11.71,N
cynisch,2.84,4.03,4.46,12.03,A
daad,4.25,4.98,4.64,7.68,N
daadkrachtig,5.43,5.48,5.63,9.81,A
daas,3.00,4.33,4.09,8.14,N
dadel,4.10,3.22,3.50,8.93,N
dag,4.61,3.94,4.05,4.13,N
dagdroom,5.28,2.64,3.78,7.52,N
daglicht,5.45,3.98,4.61,6.81,N
dak,4.33,3.14,4.28,4.61,N
dal,3.52,3.00,3.25,6.52,N
dalen,3.59,4.16,3.42,6.45,V
dam,4.25,3.36,4.67,7.58,N
dame,5.08,4.09,4.20,5.55,N
dammen,4.33,3.83,4.00,7.03,V
damp,3.69,3.33,3.44,7.26,N
dank,5.56,3.78,4.30,5.39,N
dankbaar,5.78,4.20,4.33,7.06,A
danken,5.36,4.13,4.14,5.58,V
dans,5.41,5.44,4.23,4.77,N
dansen,5.56,5.81,4.27,5.00,V
danser,5.20,5.75,4.08,6.10,N
dansvloer,5.31,5.69,4.20,7.58,N
dapper,5.83,5.25,5.42,6.23,A
darm,3.56,4.16,3.73,7.23,N
darts,4.42,4.14,4.03,7.97,N
das,4.31,3.44,3.65,6.19,N
dauw,4.45,2.97,3.35,7.42,N
deal,4.58,4.43,4.62,8.65,N
dealen,2.31,5.31,4.35,10.74,V
dealer,2.48,4.91,4.36,10.84,N
deeg,4.52,3.44,3.44,5.81,N
deel,4.20,3.41,3.50,5.06,N
defect,2.50,3.13,3.13,8.68,A
deftig,4.86,3.66,4.33,7.13,A
degelijk,5.02,3.45,4.42,8.97,A
degen,3.57,4.16,4.89,9.11,N
dek,4.17,3.39,3.98,7.16,N
deken,4.67,2.77,3.50,4.90,N
dekken,4.09,4.70,4.31,7.10,V
delen,5.16,4.45,4.09,5.16,V
delicaat,4.16,3.33,3.73,10.97,A
den,4.37,3.23,3.88,5.97,N
denken,4.84,4.61,4.63,5.13,V
depressie,1.56,2.70,2.89,9.71,N
depressief,1.50,2.80,3.00,9.81,A
detail,4.52,3.64,3.90,8.26,N
deugdzaam,5.42,3.77,4.69,10.06,A
deugen,4.95,4.06,4.34,8.48,V
deuk,2.97,3.81,3.52,6.35,N
