Verb,Unconditional MLE,Fisher's p,Verb frequency,Collostruction frequency,'Zijn' ratio
bedienen,2.51014057065,3.49634644708e-17,340,197,0.0911764705882
gelijkstellen,2.49682010489,0.000334043248256,64,37,0.21875
specialiseren,2.49017227284,1.09066573646e-94,2080,1201,0.878365384615
herinneren,2.46506674626,8.74090560322e-05,80,46,0.0125
stationeren,2.42939848492,1.92780634362e-14,301,172,0.827242524917
scheiden,2.42689531058,4.7906722604e-46,1047,598,0.500477554919
pakken,2.41614039501,6.32743535739e-06,107,61,0.177570093458
positioneren,2.40764133342,0.000615663214474,65,37,0.661538461538
confronteren,2.40460926779,7.99518714401e-16,341,194,0.0263929618768
kraken,2.38744559558,0.000467204095931,67,38,0.34328358209
baseren,2.38217273023,3.23213325867e-99,2411,1366,0.950642886769
verwaarlozen,2.35788629818,4.14140079204e-06,117,66,0.418803418803
bevolken,2.3334409212,2.04453702023e-06,130,73,0.215384615385
vervalsen,2.29435966337,0.00123091127089,61,34,0.573770491803
omgeven,2.28950170839,2.54763896302e-14,343,191,0.539358600583
lezen,2.28148659013,1.09779030028e-20,518,288,0.283783783784
voorbestemmen,2.27748963436,0.000264210624744,81,45,0.913580246914
overspoelen,2.2774882562,0.001366547101,63,35,0.174603174603
bekroond,2.26890478592,3.90730985591e-10,238,132,0.117647058824
betrekken,2.26201242075,9.16905101e-28,724,401,0.657458563536
veronderstellen,2.25851569801,3.07294008259e-09,215,119,0.0744186046512
handhaven,2.24841335508,3.71053896201e-05,105,58,0.266666666667
verhuren,2.23788047485,1.18372524908e-08,205,113,0.160975609756
verenigen,2.23682669679,4.38145289954e-19,499,275,0.390781563126
verbruiken,2.23340455647,0.000952646979265,69,38,0.260869565217
vergelijken,2.22414162183,1.0610686068e-18,493,271,0.442190669371
inburgeren,2.20156633563,0.00575424497512,53,29,1.0
bieden,2.19994354535,1.69841261133e-15,415,227,0.113253012048
vergissen,2.18638204861,0.0044054111091,55,30,0.0363636363636
associëren,2.18636276922,1.38143498821e-20,572,312,0.195804195804
martelen,2.1784576746,0.000101894204904,101,55,0.257425742574
dansen,2.17749202606,0.000244130628741,90,49,0.0555555555556
schakelen,2.17236571501,0.00351247109415,57,31,0.385964912281
kruisigen,2.17236571501,0.00351247109415,57,31,0.385964912281
vrijstellen,2.16360471062,0.00157901941798,70,38,0.628571428571
combineren,2.1614635712,7.50523203321e-13,352,191,0.198863636364
elektrificeren,2.1473363566,0.00304684184072,61,33,0.55737704918
toewijden,2.13431970589,0.00108506970615,76,41,0.802631578947
organiseren,2.13415681037,5.24161610713e-105,3355,1810,0.0655737704918
waarderen,2.12846427838,1.21706188011e-08,232,125,0.0344827586207
versterken,2.11345726772,4.68279605825e-13,378,203,0.169312169312
verraden,2.10061784117,5.9091243708e-07,183,98,0.229508196721
