word;aoa;percentknown;;;;;;
ontbijten;5,15;100,0;;;;;;
poepje;5,15;100,0;;;;;;
pudding;5,15;100,0;;;;;;
uitdoen;5,15;100,0;;;;;;
cadeau;5,15;100,0;;;;;;
carnaval;5,15;100,0;;;;;;
fee;5,15;100,0;;;;;;
juist;5,15;100,0;;;;;;
kammen;5,15;100,0;;;;;;
luid;5,15;100,0;;;;;;
meer;5,15;100,0;;;;;;
strand;5,15;100,0;;;;;;
wachten;5,15;100,0;;;;;;
zuigen;5,15;100,0;;;;;;
ver;5,15;99,6;;;;;;
blok;5,15;99,4;;;;;;
worst;5,16;100,0;;;;;;
moederdag;5,16;95,0;;;;;;
leeuw;5,16;99,3;;;;;;
fout;5,16;100,0;;;;;;
abracadabra;5,17;100,0;;;;;;
bedankt;5,17;100,0;;;;;;
binnen;5,17;100,0;;;;;;
kleuters;5,17;100,0;;;;;;
ontbijt;5,17;100,0;;;;;;
opeten;5,17;100,0;;;;;;
sterretje;5,17;100,0;;;;;;
voetballen;5,17;100,0;;;;;;
wasco;5,17;100,0;;;;;;
spook;5,17;99,8;;;;;;
roze;5,18;100,0;;;;;;
slaapje;5,18;94,4;;;;;;
chips;5,19;100,0;;;;;;
winter;5,19;100,0;;;;;;
ondergoed;5,19;100,0;;;;;;
deken;5,19;100,0;;;;;;
nek;5,19;100,0;;;;;;
sinaasappelsap;5,20;100,0;;;;;;
kabouter;5,20;100,0;;;;;;
veters;5,20;100,0;;;;;;
geit;5,20;100,0;;;;;;
knuffels;5,20;100,0;;;;;;
pet;5,21;100,0;;;;;;
zwemmen;5,21;100,0;;;;;;
kring;5,21;100,0;;;;;;
pakjes;5,21;95,0;;;;;;
vandaag;5,21;95,0;;;;;;
duw;5,21;100,0;;;;;;
hik;5,21;100,0;;;;;;
kap;5,21;100,0;;;;;;
kermis;5,21;100,0;;;;;;
kwijt;5,21;100,0;;;;;;
monster;5,21;100,0;;;;;;
straat;5,21;100,0;;;;;;
pan;5,21;99,8;;;;;;
zoeken;5,21;99,6;;;;;;
sapje;5,22;96,3;;;;;;
poppenkast;5,22;100,0;;;;;;
kan;5,22;100,0;;;;;;
onder;5,22;100,0;;;;;;
spelletje;5,22;100,0;;;;;;
verf;5,23;100,0;;;;;;
donder;5,23;100,0;;;;;;
foto;5,24;100,0;;;;;;
lucht;5,24;100,0;;;;;;
wang;5,24;100,0;;;;;;
bij;5,24;100,0;;;;;;
prent;5,24;99,8;;;;;;
draak;5,25;100,0;;;;;;
ring;5,25;100,0;;;;;;
vrijdag;5,25;100,0;;;;;;
kar;5,26;100,0;;;;;;
tut;5,26;95,0;;;;;;
aardappel;5,27;100,0;;;;;;
antwoord;5,28;100,0;;;;;;
bel;5,28;100,0;;;;;;
blaffen;5,28;100,0;;;;;;
blijven;5,28;100,0;;;;;;
graag;5,28;100,0;;;;;;
kom;5,28;100,0;;;;;;
oud;5,28;100,0;;;;;;
ruiken;5,28;100,0;;;;;;
stinken;5,28;100,0;;;;;;
traag;5,28;100,0;;;;;;
diep;5,28;99,6;;;;;;
laag;5,28;99,6;;;;;;
aai;5,28;100,0;;;;;;
abacadabra;5,28;100,0;;;;;;
blaadje;5,28;100,0;;;;;;
broekje;5,28;100,0;;;;;;
dan;5,28;100,0;;;;;;
die;5,28;100,0;;;;;;
goedemiddag;5,28;100,0;;;;;;
lievelingsdier;5,28;100,0;;;;;;
muziekje;5,28;100,0;;;;;;
pamper;5,28;100,0;;;;;;
papfles;5,28;100,0;;;;;;
slok;5,29;99,1;;;;;;
liegen;5,29;100,0;;;;;;
plant;5,29;100,0;;;;;;
broodje;5,30;100,0;;;;;;
etenstijd;5,30;100,0;;;;;;
slapengaan;5,30;100,0;;;;;;
appelsiensap;5,30;100,0;;;;;;
grootpa;5,30;100,0;;;;;;
keukentje;5,30;100,0;;;;;;
playmobil;5,30;100,0;;;;;;
schooljuffrouw;5,30;100,0;;;;;;
TV;5,30;100,0;;;;;;
wafel;5,31;100,0;;;;;;
sinaasappel;5,31;100,0;;;;;;
au;5,31;88,9;;;;;;
puree;5,31;99,1;;;;;;
nies;5,31;96,2;;;;;;
zwempak;5,32;100,0;;;;;;
koning;5,32;100,0;;;;;;
venster;5,32;100,0;;;;;;
keel;5,32;100,0;;;;;;
grootvader;5,32;100,0;;;;;;
krijt;5,33;100,0;;;;;;
zomer;5,33;100,0;;;;;;
handschoenen;5,33;100,0;;;;;;
stoomboot;5,33;100,0;;;;;;
suiker;5,33;100,0;;;;;;
boekentas;5,33;100,0;;;;;;
goedemorgen;5,33;100,0;;;;;;
kleurtje;5,33;100,0;;;;;;
knieën;5,33;100,0;;;;;;
leerjaar;5,33;100,0;;;;;;
lekstok;5,33;100,0;;;;;;
luister;5,33;100,0;;;;;;
prentenboek;5,33;100,0;;;;;;
puzzelen;5,33;100,0;;;;;;
sneeuwman;5,33;100,0;;;;;;
te;5,33;100,0;;;;;;
uit;5,33;100,0;;;;;;
uitkleden;5,33;100,0;;;;;;
voor;5,33;100,0;;;;;;
voornaam;5,33;100,0;;;;;;
wip;5,33;100,0;;;;;;
zandkasteel;5,33;100,0;;;;;;
pielen;5,33;16,7;;;;;;
alles;5,33;100,0;;;;;;
bos;5,34;100,0;;;;;;
erg;5,34;100,0;;;;;;
gat;5,34;100,0;;;;;;
heten;5,34;100,0;;;;;;
kam;5,34;100,0;;;;;;
kort;5,34;100,0;;;;;;
kwaad;5,34;100,0;;;;;;
lang;5,34;100,0;;;;;;
lelijk;5,34;100,0;;;;;;
maken;5,34;100,0;;;;;;
masker;5,34;100,0;;;;;;
mogen;5,34;100,0;;;;;;
open;5,34;100,0;;;;;;
pakken;5,34;100,0;;;;;;
planten;5,34;100,0;;;;;;
scheet;5,34;100,0;;;;;;
slikken;5,34;100,0;;;;;;
